    #Energy        TDOS
    #TDOS obtained from EIGENVAL file
    -4.71993    41.48634
    -4.71493    41.36520
    -4.70993    41.22463
    -4.70493    41.06514
    -4.69993    40.88735
    -4.69493    40.69192
    -4.68993    40.47961
    -4.68493    40.25125
    -4.67993    40.00771
    -4.67493    39.74995
    -4.66993    39.47898
    -4.66493    39.19585
    -4.65993    38.90168
    -4.65493    38.59761
    -4.64993    38.28484
    -4.64493    37.96457
    -4.63993    37.63806
    -4.63493    37.30657
    -4.62993    36.97138
    -4.62493    36.63375
    -4.61993    36.29499
    -4.61493    35.95635
    -4.60993    35.61912
    -4.60493    35.28452
    -4.59993    34.95378
    -4.59493    34.62810
    -4.58993    34.30862
    -4.58493    33.99646
    -4.57993    33.69268
    -4.57493    33.39830
    -4.56993    33.11428
    -4.56493    32.84151
    -4.55993    32.58083
    -4.55493    32.33300
    -4.54993    32.09873
    -4.54493    31.87864
    -4.53993    31.67327
    -4.53493    31.48310
    -4.52993    31.30851
    -4.52493    31.14983
    -4.51993    31.00729
    -4.51493    30.88104
    -4.50993    30.77116
    -4.50493    30.67765
    -4.49993    30.60042
    -4.49493    30.53932
    -4.48993    30.49413
    -4.48493    30.46453
    -4.47993    30.45017
    -4.47493    30.45061
    -4.46993    30.46536
    -4.46493    30.49385
    -4.45993    30.53548
    -4.45493    30.58959
    -4.44993    30.65548
    -4.44493    30.73239
    -4.43993    30.81953
    -4.43493    30.91610
    -4.42993    31.02123
    -4.42493    31.13405
    -4.41993    31.25368
    -4.41493    31.37920
    -4.40993    31.50971
    -4.40493    31.64427
    -4.39993    31.78197
    -4.39493    31.92188
    -4.38993    32.06310
    -4.38493    32.20472
    -4.37993    32.34587
    -4.37493    32.48568
    -4.36993    32.62330
    -4.36493    32.75793
    -4.35993    32.88877
    -4.35493    33.01508
    -4.34993    33.13615
    -4.34493    33.25128
    -4.33993    33.35985
    -4.33493    33.46125
    -4.32993    33.55493
    -4.32493    33.64038
    -4.31993    33.71714
    -4.31493    33.78479
    -4.30993    33.84295
    -4.30493    33.89131
    -4.29993    33.92958
    -4.29493    33.95755
    -4.28993    33.97503
    -4.28493    33.98188
    -4.27993    33.97803
    -4.27493    33.96342
    -4.26993    33.93806
    -4.26493    33.90198
    -4.25993    33.85528
    -4.25493    33.79808
    -4.24993    33.73054
    -4.24493    33.65286
    -4.23993    33.56526
    -4.23493    33.46803
    -4.22993    33.36144
    -4.22493    33.24584
    -4.21993    33.12155
    -4.21493    32.98896
    -4.20993    32.84847
    -4.20493    32.70049
    -4.19993    32.54545
    -4.19493    32.38381
    -4.18993    32.21601
    -4.18493    32.04255
    -4.17993    31.86390
    -4.17493    31.68056
    -4.16993    31.49301
    -4.16493    31.30177
    -4.15993    31.10733
    -4.15493    30.91020
    -4.14993    30.71088
    -4.14493    30.50987
    -4.13993    30.30767
    -4.13493    30.10478
    -4.12993    29.90167
    -4.12493    29.69882
    -4.11993    29.49671
    -4.11493    29.29579
    -4.10993    29.09651
    -4.10493    28.89932
    -4.09993    28.70463
    -4.09493    28.51286
    -4.08993    28.32441
    -4.08493    28.13968
    -4.07993    27.95902
    -4.07493    27.78280
    -4.06993    27.61137
    -4.06493    27.44504
    -4.05993    27.28414
    -4.05493    27.12896
    -4.04993    26.97978
    -4.04493    26.83686
    -4.03993    26.70045
    -4.03493    26.57079
    -4.02993    26.44809
    -4.02493    26.33256
    -4.01993    26.22437
    -4.01493    26.12371
    -4.00993    26.03071
    -4.00493    25.94552
    -3.99993    25.86826
    -3.99493    25.79904
    -3.98993    25.73796
    -3.98493    25.68508
    -3.97993    25.64048
    -3.97493    25.60421
    -3.96993    25.57630
    -3.96493    25.55678
    -3.95993    25.54566
    -3.95493    25.54295
    -3.94993    25.54863
    -3.94493    25.56267
    -3.93993    25.58506
    -3.93493    25.61574
    -3.92993    25.65468
    -3.92493    25.70179
    -3.91993    25.75703
    -3.91493    25.82031
    -3.90993    25.89156
    -3.90493    25.97068
    -3.89993    26.05758
    -3.89493    26.15216
    -3.88993    26.25433
    -3.88493    26.36395
    -3.87993    26.48094
    -3.87493    26.60517
    -3.86993    26.73652
    -3.86493    26.87486
    -3.85993    27.02009
    -3.85493    27.17206
    -3.84993    27.33066
    -3.84493    27.49574
    -3.83993    27.66718
    -3.83493    27.84484
    -3.82993    28.02858
    -3.82493    28.21827
    -3.81993    28.41376
    -3.81493    28.61490
    -3.80993    28.82156
    -3.80493    29.03357
    -3.79993    29.25078
    -3.79493    29.47304
    -3.78993    29.70018
    -3.78493    29.93203
    -3.77993    30.16841
    -3.77493    30.40916
    -3.76993    30.65408
    -3.76493    30.90299
    -3.75993    31.15567
    -3.75493    31.41194
    -3.74993    31.67157
    -3.74493    31.93434
    -3.73993    32.20003
    -3.73493    32.46840
    -3.72993    32.73920
    -3.72493    33.01219
    -3.71993    33.28711
    -3.71493    33.56368
    -3.70993    33.84165
    -3.70493    34.12073
    -3.69993    34.40065
    -3.69493    34.68110
    -3.68993    34.96182
    -3.68493    35.24249
    -3.67993    35.52284
    -3.67493    35.80256
    -3.66993    36.08137
    -3.66493    36.35898
    -3.65993    36.63511
    -3.65493    36.90948
    -3.64993    37.18182
    -3.64493    37.45188
    -3.63993    37.71940
    -3.63493    37.98417
    -3.62993    38.24595
    -3.62493    38.50455
    -3.61993    38.75979
    -3.61493    39.01151
    -3.60993    39.25957
    -3.60493    39.50387
    -3.59993    39.74431
    -3.59493    39.98084
    -3.58993    40.21343
    -3.58493    40.44207
    -3.57993    40.66681
    -3.57493    40.88771
    -3.56993    41.10485
    -3.56493    41.31839
    -3.55993    41.52846
    -3.55493    41.73529
    -3.54993    41.93910
    -3.54493    42.14015
    -3.53993    42.33875
    -3.53493    42.53523
    -3.52993    42.72995
    -3.52493    42.92330
    -3.51993    43.11572
    -3.51493    43.30765
    -3.50993    43.49956
    -3.50493    43.69196
    -3.49993    43.88537
    -3.49493    44.08032
    -3.48993    44.27737
    -3.48493    44.47710
    -3.47993    44.68007
    -3.47493    44.88688
    -3.46993    45.09811
    -3.46493    45.31435
    -3.45993    45.53620
    -3.45493    45.76424
    -3.44993    45.99903
    -3.44493    46.24113
    -3.43993    46.49109
    -3.43493    46.74942
    -3.42993    47.01662
    -3.42493    47.29316
    -3.41993    47.57947
    -3.41493    47.87597
    -3.40993    48.18300
    -3.40493    48.50090
    -3.39993    48.82995
    -3.39493    49.17038
    -3.38993    49.52237
    -3.38493    49.88605
    -3.37993    50.26151
    -3.37493    50.64877
    -3.36993    51.04780
    -3.36493    51.45849
    -3.35993    51.88070
    -3.35493    52.31421
    -3.34993    52.75875
    -3.34493    53.21398
    -3.33993    53.67949
    -3.33493    54.15483
    -3.32993    54.63948
    -3.32493    55.13285
    -3.31993    55.63430
    -3.31493    56.14313
    -3.30993    56.65858
    -3.30493    57.17985
    -3.29993    57.70607
    -3.29493    58.23632
    -3.28993    58.76966
    -3.28493    59.30509
    -3.27993    59.84156
    -3.27493    60.37799
    -3.26993    60.91327
    -3.26493    61.44627
    -3.25993    61.97582
    -3.25493    62.50073
    -3.24993    63.01981
    -3.24493    63.53183
    -3.23993    64.03557
    -3.23493    64.52980
    -3.22993    65.01331
    -3.22493    65.48487
    -3.21993    65.94326
    -3.21493    66.38730
    -3.20993    66.81580
    -3.20493    67.22761
    -3.19993    67.62161
    -3.19493    67.99669
    -3.18993    68.35180
    -3.18493    68.68592
    -3.17993    68.99806
    -3.17493    69.28731
    -3.16993    69.55277
    -3.16493    69.79361
    -3.15993    70.00907
    -3.15493    70.19842
    -3.14993    70.36102
    -3.14493    70.49627
    -3.13993    70.60363
    -3.13493    70.68266
    -3.12993    70.73295
    -3.12493    70.75417
    -3.11993    70.74607
    -3.11493    70.70845
    -3.10993    70.64120
    -3.10493    70.54426
    -3.09993    70.41765
    -3.09493    70.26145
    -3.08993    70.07582
    -3.08493    69.86097
    -3.07993    69.61719
    -3.07493    69.34481
    -3.06993    69.04424
    -3.06493    68.71595
    -3.05993    68.36046
    -3.05493    67.97834
    -3.04993    67.57021
    -3.04493    67.13675
    -3.03993    66.67867
    -3.03493    66.19674
    -3.02993    65.69176
    -3.02493    65.16457
    -3.01993    64.61603
    -3.01493    64.04705
    -3.00993    63.45854
    -3.00493    62.85146
    -2.99993    62.22677
    -2.99493    61.58545
    -2.98993    60.92851
    -2.98493    60.25693
    -2.97993    59.57173
    -2.97493    58.87392
    -2.96993    58.16451
    -2.96493    57.44450
    -2.95993    56.71489
    -2.95493    55.97667
    -2.94993    55.23080
    -2.94493    54.47826
    -2.93993    53.71996
    -2.93493    52.95684
    -2.92993    52.18979
    -2.92493    51.41968
    -2.91993    50.64734
    -2.91493    49.87360
    -2.90993    49.09922
    -2.90493    48.32497
    -2.89993    47.55155
    -2.89493    46.77965
    -2.88993    46.00992
    -2.88493    45.24295
    -2.87993    44.47932
    -2.87493    43.71957
    -2.86993    42.96419
    -2.86493    42.21364
    -2.85993    41.46835
    -2.85493    40.72869
    -2.84993    39.99501
    -2.84493    39.26762
    -2.83993    38.54680
    -2.83493    37.83280
    -2.82993    37.12581
    -2.82493    36.42601
    -2.81993    35.73355
    -2.81493    35.04854
    -2.80993    34.37107
    -2.80493    33.70119
    -2.79993    33.03895
    -2.79493    32.38436
    -2.78993    31.73740
    -2.78493    31.09805
    -2.77993    30.46626
    -2.77493    29.84196
    -2.76993    29.22509
    -2.76493    28.61556
    -2.75993    28.01326
    -2.75493    27.41809
    -2.74993    26.82994
    -2.74493    26.24869
    -2.73993    25.67422
    -2.73493    25.10641
    -2.72993    24.54514
    -2.72493    23.99029
    -2.71993    23.44174
    -2.71493    22.89939
    -2.70993    22.36313
    -2.70493    21.83286
    -2.69993    21.30850
    -2.69493    20.78996
    -2.68993    20.27718
    -2.68493    19.77009
    -2.67993    19.26864
    -2.67493    18.77281
    -2.66993    18.28255
    -2.66493    17.79787
    -2.65993    17.31875
    -2.65493    16.84521
    -2.64993    16.37727
    -2.64493    15.91496
    -2.63993    15.45833
    -2.63493    15.00743
    -2.62993    14.56233
    -2.62493    14.12310
    -2.61993    13.68982
    -2.61493    13.26258
    -2.60993    12.84149
    -2.60493    12.42664
    -2.59993    12.01814
    -2.59493    11.61611
    -2.58993    11.22065
    -2.58493    10.83189
    -2.57993    10.44995
    -2.57493    10.07494
    -2.56993     9.70698
    -2.56493     9.34618
    -2.55993     8.99266
    -2.55493     8.64653
    -2.54993     8.30788
    -2.54493     7.97682
    -2.53993     7.65344
    -2.53493     7.33781
    -2.52993     7.03002
    -2.52493     6.73014
    -2.51993     6.43822
    -2.51493     6.15431
    -2.50993     5.87846
    -2.50493     5.61068
    -2.49993     5.35101
    -2.49493     5.09945
    -2.48993     4.85599
    -2.48493     4.62064
    -2.47993     4.39335
    -2.47493     4.17412
    -2.46993     3.96288
    -2.46493     3.75959
    -2.45993     3.56420
    -2.45493     3.37662
    -2.44993     3.19678
    -2.44493     3.02460
    -2.43993     2.85999
    -2.43493     2.70284
    -2.42993     2.55305
    -2.42493     2.41050
    -2.41993     2.27509
    -2.41493     2.14669
    -2.40993     2.02518
    -2.40493     1.91044
    -2.39993     1.80233
    -2.39493     1.70072
    -2.38993     1.60550
    -2.38493     1.51652
    -2.37993     1.43366
    -2.37493     1.35678
    -2.36993     1.28577
    -2.36493     1.22050
    -2.35993     1.16084
    -2.35493     1.10668
    -2.34993     1.05790
    -2.34493     1.01440
    -2.33993     0.97605
    -2.33493     0.94276
    -2.32993     0.91443
    -2.32493     0.89096
    -2.31993     0.87227
    -2.31493     0.85827
    -2.30993     0.84887
    -2.30493     0.84399
    -2.29993     0.84358
    -2.29493     0.84755
    -2.28993     0.85583
    -2.28493     0.86837
    -2.27993     0.88511
    -2.27493     0.90599
    -2.26993     0.93094
    -2.26493     0.95993
    -2.25993     0.99288
    -2.25493     1.02976
    -2.24993     1.07050
    -2.24493     1.11504
    -2.23993     1.16334
    -2.23493     1.21533
    -2.22993     1.27095
    -2.22493     1.33013
    -2.21993     1.39280
    -2.21493     1.45889
    -2.20993     1.52831
    -2.20493     1.60098
    -2.19993     1.67680
    -2.19493     1.75567
    -2.18993     1.83748
    -2.18493     1.92211
    -2.17993     2.00943
    -2.17493     2.09932
    -2.16993     2.19162
    -2.16493     2.28617
    -2.15993     2.38283
    -2.15493     2.48140
    -2.14993     2.58170
    -2.14493     2.68355
    -2.13993     2.78673
    -2.13493     2.89104
    -2.12993     2.99625
    -2.12493     3.10214
    -2.11993     3.20846
    -2.11493     3.31497
    -2.10993     3.42141
    -2.10493     3.52752
    -2.09993     3.63305
    -2.09493     3.73773
    -2.08993     3.84127
    -2.08493     3.94340
